sectorName,integrated,genderOnly,climateOnly,neither,totalFunding,totalProjects,integratedShare
I.5.a. Government & Civil Society-general,9233,112044,2606,0,121066.53,123883,0.0745
II.1. Transport & Storage,1236,3940,2361,0,96843.64,7537,0.164
I.2.b. Basic Health,2054,19966,1029,0,72245.3,23049,0.0891
I.4. Water Supply & Sanitation,8602,11034,9250,0,70123.64,28886,0.2978
IV.2. Other Multisector,10114,20469,7020,0,63066.73,37603,0.269
III.1.a. Agriculture,18842,14825,10176,0,60713.2,43843,0.4298
I.6. Other Social Infrastructure & Services,2287,32306,1037,0,56574.73,35630,0.0642
II.4. Banking & Financial Services,988,6248,1537,0,50821.88,8773,0.1126
"II.3.b. Energy generation, renewable sources",2085,891,9298,0,48296.75,12274,0.1699
VIII.1. Emergency Response,1461,24901,661,0,46286.69,27023,0.0541
IV.1. General Environment Protection,9781,3836,19991,0,44324.55,33608,0.291
I.3. Population Policies/Programmes & Reproductive Health,921,18374,104,0,36966.65,19399,0.0475
II.3.a. Energy Policy,1675,941,5027,0,31777.07,7643,0.2192
"I.1.a. Education, Level Unspecified",972,16900,548,0,30842.17,18420,0.0528
II.3.f. Energy distribution,351,768,1874,0,29648.48,2993,0.1173
"I.2.a. Health, General",475,11418,637,0,28508.03,12530,0.0379
I.1.c. Secondary Education,826,11930,213,0,23368.5,12969,0.0637
I.1.b. Basic Education,850,13694,192,0,23298.23,14736,0.0577
"I.5.b. Conflict, Peace & Security",751,18795,176,0,22675.14,19722,0.0381
VI.1. General Budget Support,34,543,169,0,20050.74,746,0.0456
III.2.a. Industry,1030,4639,1478,0,18178.43,7147,0.1441
II.5. Business & Other Services,1255,5066,578,0,15016.87,6899,0.1819
I.1.d. Post-Secondary Education,921,16767,602,0,11926.95,18290,0.0504
VIII.3. Disaster Prevention & Preparedness,890,2100,1534,0,11432.5,4524,0.1967
"II.3.c. Energy generation, non-renewable sources",37,87,450,0,8182.65,574,0.0645
III.1.b. Forestry,2084,396,2747,0,7967.51,5227,0.3987
IX. Unallocated / Unspecified,1253,14645,1155,0,7963.05,17053,0.0735
VI.2. Development Food Assistance,1149,1504,254,0,7874.6,2907,0.3953
II.2. Communications,201,2179,316,0,7346.33,2696,0.0746
VIII.2. Reconstruction Relief & Rehabilitation,371,2039,199,0,5778.13,2609,0.1422
III.3.a. Trade Policies & Regulations,456,1933,362,0,5566.15,2751,0.1658
Administrative Costs of Donors,71,3839,104,0,2631.93,4014,0.0177
III.2.b. Mineral Resources & Mining,120,486,245,0,2428.49,851,0.141
III.1.c. Fishing,658,681,723,0,2071.34,2062,0.3191
III.3.b. Tourism,163,713,244,0,1146.09,1120,0.1455
I.2.c. Non-communicable diseases (NCDs),21,695,40,0,496.71,756,0.0278
III.2.c. Construction,27,54,80,0,473.39,161,0.1677
Refugees in Donor Countries,2,195,0,0,429.13,197,0.0102
II.3.e. Nuclear energy plants,3,94,69,0,300.46,166,0.0181
II.3.d. Hybrid energy plants,2,0,34,0,97.54,36,0.0556
VI.3. Other Commodity Assistance,6,23,19,0,86.29,48,0.125
VII. Action Relating to Debt,1,19,4,0,15.68,24,0.0417
