year,bucket,totalFunding,projectCount,avgFunding
2014,Climate Only,15785.54,5957,2.6499
2014,Gender Only,39282.15,32422,1.2116
2014,Integrated,8414.74,5785,1.4546
2015,Climate Only,15456.92,6390,2.4189
2015,Gender Only,43475.15,32277,1.3469
2015,Integrated,9672.88,6097,1.5865
2016,Climate Only,19192.55,6780,2.8308
2016,Gender Only,39935.06,33745,1.1834
2016,Integrated,15139.63,6639,2.2804
2017,Climate Only,25849.42,8086,3.1968
2017,Gender Only,49113.23,38788,1.2662
2017,Integrated,13004.23,6744,1.9283
2018,Climate Only,28231.75,9006,3.1348
2018,Gender Only,51856.02,40053,1.2947
2018,Integrated,19225.17,7327,2.6239
2019,Climate Only,21429.49,9332,2.2963
2019,Gender Only,63459.81,38943,1.6296
2019,Integrated,20243.55,7886,2.567
2020,Climate Only,19326.23,9636,2.0056
2020,Gender Only,78897.33,39605,1.9921
2020,Integrated,20284.61,9269,2.1884
2021,Climate Only,22334.73,10777,2.0724
2021,Gender Only,74533.88,45457,1.6397
2021,Integrated,27377.75,11041,2.4796
2022,Climate Only,25272.51,10685,2.3652
2022,Gender Only,84956.66,47284,1.7967
2022,Integrated,32762.09,11761,2.7857
2023,Climate Only,25775.09,8494,3.0345
2023,Gender Only,152971.7,53403,2.8645
2023,Integrated,31649.02,11710,2.7027
